Text,Label
"Gazing at the stars, I thought of you. The way you light up my world is just cosmic.",1
Hope your day is as awesome as you are!,0
"If I were a cat, I'd spend all 9 lives with you. But as a human, I'm just hoping for one amazing date.",1
"You're like the best coffee: bold, hot, and impossible to resist. Let's grab a cup soon?",1
What's on your agenda for today?,0
You've got a smile that could light up a power outage. How about we test that theory over dinner?,1
Caught up in the busy world? Let's catch up soon!,0
"Did you conquer the world today, or planning to do it tomorrow?",0
You always have the best advice. Got any wisdom for me today?,0
Your intelligence is more alluring than a rose on Valentine's. I'm smitten by your insights.,1
Did we just share a moment? Or should I send a calendar invite for a proper one?,1
How do you always stay so positive? Share your secret!,0
Your name must be Wi-Fi because I'm really feeling a connection. Is this more than just good reception?,1
"Is it just me, or did it just get hotter in here when you walked in?",1
You've been quiet lately. Everything okay?,0
"If looks could kill, you'd definitely be a heartbreaker.",1
Let's grab lunch sometime and swap crazy work stories.,0
Do you have a map? I keep getting lost in your eyes.,1
"If beauty were time, you’d be eternity.",1
"Just so you know, I’m currently accepting applications for someone to wine and dine. Position’s open; you interested?",1
Your energy is always so refreshing. What's your secret?,0
"Are you a magician? Because whenever I look at you, everyone else disappears.",1
"I'm not a photographer, but I can definitely picture us together.",1
How's the maths project going on?,0
"If we were in a movie, I’d be the one falling for you in the first scene.",1
Your smile is my favorite notification.,1
You’re like a walking encyclopedia! Learned anything interesting lately?,0
"If flirting were a sport, I’d want you on my team.",1
Just a quick hello to brighten your day as you do mine!,0
I need a new book/show recommendation. What do you suggest?,0
Survived another day without turning into a zombie. How about you?,0
Our conversations are my favorite novel I never want to end.,1
You must be made of copper and tellurium because you’re CuTe.,1
Your optimism is contagious. Feeling the need for some of that today!,0
"If you were a superhero, what would your office superpower be?",0
"Do you have a name, or can I call you mine?",1
"Was that an earthquake, or did you just rock my world?",1
You’re the plot twist in my life I didn’t see coming.,1
Looking for a partner in crime for a coffee run. Interested?,0
"If I had a star for every time you brightened my day, I’d have a galaxy.",1
Are you a keyboard? Because you're just my type.,1
Just wanted to check in and see how you're doing. All well?,0
Your knack for finding the best memes is unparalleled. Got any today?,0
Feeling adventurous? Let's try a new lunch spot.,0
"Do you believe in love at first text, or should I send another one?",1
You're the reason my imaginary friend is jealous.,1
Need a break from the chaos? I'm here if you want to talk.,0
"If you were a vegetable, you’d be a cute-cumber.",1
Your dedication is inspiring. What's motivating you these days?,0
Let's make plans to do something chill this weekend.,0
You bring so much to the table. Ever consider leading a project?,0
Our chemistry could give the periodic table a run for its money.,1
"I'm no electrician, but I can light up your day.",1
In awe of your problem-solving skills. Got any tips?,0
"If being sexy was a crime, you’d be guilty as charged.",1
I must be a snowflake because I've fallen for you.,1
How do you balance work and life so well? I'm all ears.,0
Is your name Google? Because you’ve got everything I’m searching for.,1
You've got a way with words. Ever thought about writing?,0
Let's start a hobby group at work. You in?,0
You must be a loan because you've got my interest.,1
Are we at the airport? Because my heart just took off.,1
Your sense of humor is always a day-brightener. Got any jokes today?,0
Up for a challenge? Let's see who can log off work on time today.,0
Do you have a Band-Aid? Because I just scraped my knee falling for you.,1
Are you made of grapes? Because you're fine as wine.,1
"If you were words on a page, you’d be fine print.",1
Do you play soccer? Because you're a keeper.,1
Thinking of taking a day trip this weekend. Any suggestions?,0
Was your dad a boxer? Because you’re a knockout.,1
You always have the best lunch ideas. What's on the menu today?,0
Your project updates are always so insightful. Looking forward to the next one!,0
Are you a 90-degree angle? Because you’re looking right.,1
Is this the Hogwarts Express? Because it feels like you and I are headed somewhere magical.,1
I admire your work ethic. How do you stay so focused?,0
